frame,time_s,person_id,kpt_id,kpt_name,x_px,y_px,score,X_m,Y_m,Z_m
0,0.0,0,0,nose,270.0,116.01,1.0,0.0,-0.392,2.6
0,0.0,0,1,left-eye,260.874,106.884,1.0,-0.0208,-0.4128,2.6
0,0.0,0,2,right-eye,279.126,106.884,1.0,0.0208,-0.4128,2.6
0,0.0,0,3,left-ear,248.94,115.308,1.0,-0.048,-0.3936,2.6
0,0.0,0,4,right-ear,291.06,115.308,1.0,0.048,-0.3936,2.6
0,0.0,0,5,left-shoulder,231.39,151.11,1.0,-0.088,-0.312,2.6
0,0.0,0,6,right-shoulder,308.61,151.11,1.0,0.088,-0.312,2.6
0,0.0,0,7,left-elbow,231.39,214.29,1.0,-0.088,-0.168,2.6
0,0.0,0,8,right-elbow,308.61,214.29,1.0,0.088,-0.168,2.6
0,0.0,0,9,left-hip,247.536,288.0,1.0,-0.0512,0.0,2.6
0,0.0,0,10,right-hip,292.464,288.0,1.0,0.0512,0.0,2.6
0,0.0,0,11,left-knee,247.536,368.73,1.0,-0.0512,0.184,2.6
0,0.0,0,12,right-knee,292.464,368.73,1.0,0.0512,0.184,2.6
0,0.0,0,13,left-ankle,247.536,445.95,1.0,-0.0512,0.36,2.6
0,0.0,0,14,right-ankle,292.464,445.95,1.0,0.0512,0.36,2.6
0,0.0,0,15,left-big-toe-tip,247.536,457.884,1.0,-0.0512,0.3872,2.6
0,0.0,0,16,left-small-toe-tip,239.112,457.884,1.0,-0.0704,0.3872,2.6
0,0.0,0,17,left-heel,247.536,456.48,1.0,-0.0512,0.384,2.6
0,0.0,0,18,right-big-toe-tip,292.464,457.884,1.0,0.0512,0.3872,2.6
0,0.0,0,19,right-small-toe-tip,300.888,457.884,1.0,0.0704,0.3872,2.6
0,0.0,0,20,right-heel,292.464,456.48,1.0,0.0512,0.384,2.6
0,0.0,0,21,right-thumb-tip,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,22,right-thumb-first-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,23,right-thumb-second-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,24,right-thumb-third-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,25,right-index-tip,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,26,right-index-first-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,27,right-index-second-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,28,right-index-third-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,29,right-middle-tip,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,30,right-middle-first-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,31,right-middle-second-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,32,right-middle-third-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,33,right-ring-tip,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,34,right-ring-first-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,35,right-ring-second-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,36,right-ring-third-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,37,right-pinky-tip,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,38,right-pinky-first-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,39,right-pinky-second-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,40,right-pinky-third-joint,270.0,288.0,0.0,0.0,0.0,2.6
0,0.0,0,41,right-wrist,308.61,266.94,1.0,0.088,-0.048,2.6
0,0.0,0,42,left-thumb-tip,270.0,288.0,0.0,0.0,0.0,2.6
